gen,best,avg,worst
0,0.188889,0.0244281,0.0111111
1,0.277778,0.0481526,0.0111111
2,0.277778,0.079528,0.0111111
3,0.355556,0.10465,0.0111111
4,0.355556,0.113935,0.0111111
5,0.366667,0.119387,0.0111111
6,0.366667,0.131157,0.0111111
7,0.366667,0.156346,0.0111111
8,0.366667,0.182492,0.0111111
9,0.366667,0.214413,0.0111111
10,0.366667,0.28039,0.0111111
11,0.366667,0.287155,0.0111111
12,0.366667,0.287179,0.0111111
13,0.366667,0.287264,0.0111111
14,0.366667,0.287277,0.0111111
15,0.366667,0.287242,0.0111111
16,0.466667,0.287293,0.0111111
17,0.466667,0.287364,0.0111111
18,0.944444,0.288295,0.0111111
19,0.944444,0.289397,0.0111111
20,0.944444,0.290353,0.0111111
21,0.944444,0.293488,0.0111111
22,0.944444,0.297626,0.0111111
23,0.944444,0.306818,0.0111111
24,0.944444,0.321353,0.0111111
25,0.944444,0.347745,0.0111111
26,0.944444,0.395853,0.0111111
27,0.944444,0.484182,0.0111111
28,0.944444,0.641109,0.0111111
29,0.944444,0.758321,0.0111111
30,0.944444,0.758358,0.0111111
31,0.944444,0.758329,0.0111111
32,0.944444,0.758441,0.0111111
33,0.944444,0.758369,0.0111111
34,0.944444,0.758234,0.0111111
35,0.944444,0.758389,0.0111111
36,0.944444,0.758465,0.0111111
37,0.944444,0.758569,0.0111111
38,0.944444,0.758338,0.0111111
39,0.944444,0.758416,0.0111111
40,0.944444,0.758276,0.0111111
41,0.944444,0.758372,0.0111111
42,0.944444,0.758403,0.0111111
43,0.944444,0.758309,0.0111111
44,0.944444,0.758452,0.0111111
45,0.944444,0.758414,0.0111111
46,0.944444,0.758341,0.0111111
47,0.944444,0.758289,0.0111111
48,0.944444,0.758261,0.0111111
49,0.944444,0.758243,0.0111111
50,0.944444,0.758354,0.0111111
51,0.944444,0.758276,0.0111111
52,0.944444,0.758441,0.0111111
53,0.944444,0.758241,0.0111111
54,0.944444,0.758452,0.0111111
55,0.944444,0.758392,0.0111111
56,0.944444,0.758307,0.0111111
57,0.944444,0.758349,0.0111111
58,0.944444,0.758309,0.0111111
59,0.944444,0.758369,0.0111111
60,0.944444,0.758472,0.0111111
61,0.944444,0.758263,0.0111111
62,0.944444,0.758458,0.0111111
63,0.944444,0.758218,0.0111111
64,0.944444,0.758398,0.0111111
65,0.944444,0.758338,0.0111111
66,0.944444,0.758347,0.0111111
67,0.944444,0.758443,0.0111111
68,0.944444,0.758412,0.0111111
69,0.944444,0.758383,0.0111111
70,0.944444,0.758461,0.0111111
71,0.944444,0.758349,0.0111111
72,0.944444,0.758467,0.0111111
73,0.944444,0.758338,0.0111111
74,0.944444,0.758345,0.0111111
75,0.944444,0.758376,0.0111111
76,0.944444,0.758334,0.0111111
77,0.944444,0.758356,0.0111111
78,0.944444,0.758307,0.0111111
79,0.944444,0.758369,0.0111111
80,0.944444,0.758454,0.0111111
81,0.944444,0.758334,0.0111111
82,0.944444,0.758349,0.0111111
83,0.944444,0.758523,0.0111111
84,0.944444,0.758309,0.0111111
85,0.944444,0.758429,0.0111111
86,0.944444,0.758272,0.0111111
87,0.944444,0.758358,0.0111111
88,0.944444,0.758441,0.0111111
89,0.944444,0.758412,0.0111111
90,0.944444,0.758258,0.0111111
91,0.944444,0.758298,0.0111111
92,0.944444,0.758472,0.0111111
93,0.944444,0.758323,0.0111111
94,0.944444,0.758443,0.0111111
95,0.944444,0.758323,0.0111111
96,0.944444,0.758312,0.0111111
97,0.944444,0.758294,0.0111111
98,0.944444,0.758447,0.0111111
99,0.944444,0.758354,0.0111111
100,0.944444,0.758396,0.0111111
101,0.944444,0.758325,0.0111111
102,0.944444,0.758565,0.0111111
103,0.944444,0.758261,0.0111111
104,0.944444,0.758338,0.0111111
105,0.944444,0.758301,0.0111111
106,0.944444,0.758449,0.0111111
107,0.944444,0.758536,0.0111111
108,0.944444,0.758405,0.0111111
109,0.944444,0.758574,0.0111111
110,0.944444,0.758332,0.0111111
111,0.944444,0.758287,0.0111111
112,0.944444,0.758245,0.0111111
113,0.944444,0.758554,0.0111111
114,0.944444,0.75841,0.0111111
115,0.944444,0.758469,0.0111111
116,0.944444,0.758343,0.0111111
117,0.944444,0.758261,0.0111111
118,0.944444,0.758356,0.0111111
119,0.944444,0.758427,0.0111111
120,0.944444,0.758278,0.0111111
121,0.944444,0.758385,0.0111111
122,0.944444,0.758412,0.0111111
123,0.944444,0.758381,0.0111111
124,0.944444,0.758378,0.0111111
125,0.944444,0.758418,0.0111111
126,0.944444,0.758318,0.0111111
127,0.944444,0.758392,0.0111111
128,0.944444,0.758334,0.0111111
129,0.944444,0.758494,0.0111111
130,0.944444,0.758287,0.0111111
131,0.944444,0.758307,0.0111111
132,0.944444,0.758401,0.0111111
133,0.944444,0.758452,0.0111111
134,0.944444,0.758287,0.0111111
135,0.944444,0.758396,0.0111111
136,0.944444,0.758349,0.0111111
137,0.944444,0.758512,0.0111111
138,0.944444,0.758356,0.0111111
139,0.944444,0.758303,0.0111111
140,0.944444,0.758307,0.0111111
141,0.944444,0.758385,0.0111111
142,0.944444,0.758447,0.0111111
143,0.944444,0.758325,0.0111111
144,0.944444,0.758316,0.0111111
145,0.944444,0.758298,0.0111111
146,0.944444,0.758309,0.0111111
147,0.944444,0.758349,0.0111111
148,0.944444,0.758423,0.0111111
149,0.944444,0.758389,0.0111111
150,0.944444,0.758538,0.0111111
151,0.944444,0.758345,0.0111111
