gen,best,avg,worst
152,0.944444,0.758329,0.0111111
153,0.944444,0.758407,0.0111111
154,0.944444,0.758421,0.0111111
155,0.944444,0.758338,0.0111111
156,0.944444,0.758414,0.0111111
157,0.944444,0.758374,0.0111111
158,0.944444,0.758509,0.0111111
159,0.944444,0.758521,0.0111111
160,0.944444,0.758507,0.0111111
161,0.944444,0.758265,0.0111111
162,0.944444,0.758376,0.0111111
163,0.944444,0.758287,0.0111111
164,0.944444,0.758314,0.0111111
165,0.944444,0.758249,0.0111111
166,0.944444,0.758461,0.0111111
167,0.944444,0.758201,0.0111111
168,0.944444,0.758392,0.0111111
169,0.944444,0.758467,0.0111111
170,0.944444,0.758263,0.0111111
171,0.944444,0.758387,0.0111111
172,0.944444,0.758265,0.0111111
173,0.944444,0.758298,0.0111111
174,0.944444,0.758307,0.0111111
175,0.944444,0.758418,0.0111111
176,0.944444,0.758323,0.0111111
177,0.944444,0.758369,0.0111111
178,0.944444,0.758232,0.0111111
179,0.944444,0.758338,0.0111111
180,0.944444,0.758283,0.0111111
181,0.944444,0.758378,0.0111111
182,0.944444,0.758447,0.0111111
183,0.944444,0.758263,0.0111111
184,0.944444,0.758374,0.0111111
185,0.944444,0.758485,0.0111111
186,0.944444,0.758372,0.0111111
187,0.944444,0.758472,0.0111111
188,0.944444,0.758454,0.0111111
189,0.944444,0.758294,0.0111111
190,0.944444,0.758298,0.0111111
191,0.944444,0.758232,0.0111111
192,0.944444,0.758349,0.0111111
193,0.944444,0.758625,0.0111111
194,0.944444,0.758305,0.0111111
195,0.944444,0.758429,0.0111111
196,0.944444,0.758276,0.0111111
197,0.944444,0.758387,0.0111111
198,0.944444,0.758358,0.0111111
199,0.944444,0.758467,0.0111111
200,0.944444,0.758305,0.0111111
201,0.944444,0.758338,0.0111111
202,0.944444,0.758336,0.0111111
203,0.944444,0.758492,0.0111111
204,0.944444,0.758347,0.0111111
205,0.944444,0.758365,0.0111111
206,0.944444,0.758156,0.0111111
207,0.944444,0.758194,0.0111111
208,0.944444,0.758358,0.0111111
209,0.944444,0.758281,0.0111111
210,0.944444,0.758323,0.0111111
211,0.944444,0.758165,0.0111111
212,0.944444,0.758189,0.0111111
213,0.944444,0.758476,0.0111111
214,0.944444,0.758345,0.0111111
215,0.944444,0.758281,0.0111111
216,0.944444,0.758454,0.0111111
217,0.944444,0.758425,0.0111111
218,0.944444,0.758349,0.0111111
219,0.944444,0.758325,0.0111111
220,0.944444,0.758336,0.0111111
221,0.944444,0.758518,0.0111111
222,0.944444,0.758238,0.0111111
223,0.944444,0.758318,0.0111111
224,0.944444,0.758314,0.0111111
225,0.944444,0.758392,0.0111111
226,0.944444,0.758329,0.0111111
227,0.944444,0.758358,0.0111111
228,0.944444,0.758309,0.0111111
229,0.944444,0.758327,0.0111111
230,0.944444,0.758354,0.0111111
231,0.944444,0.758418,0.0111111
232,0.944444,0.758374,0.0111111
233,0.944444,0.758356,0.0111111
234,0.944444,0.758447,0.0111111
235,0.944444,0.758383,0.0111111
236,0.944444,0.758376,0.0111111
237,0.944444,0.758232,0.0111111
238,0.944444,0.758416,0.0111111
239,0.944444,0.758472,0.0111111
240,0.944444,0.758485,0.0111111
241,0.944444,0.758414,0.0111111
242,0.944444,0.758298,0.0111111
243,0.944444,0.758287,0.0111111
244,0.944444,0.758216,0.0111111
245,0.944444,0.758396,0.0111111
246,0.944444,0.758281,0.0111111
247,0.944444,0.758376,0.0111111
248,0.944444,0.758334,0.0111111
249,0.944444,0.758265,0.0111111
