gen,best,avg,worst
0,0.311111,0.0283445,0.0111111
1,0.355556,0.0493891,0.0111111
2,0.355556,0.0782554,0.0111111
3,0.355556,0.103511,0.0111111
4,0.355556,0.1157,0.0111111
5,0.355556,0.121055,0.0111111
6,0.355556,0.131022,0.0111111
7,0.355556,0.150023,0.0111111
8,0.355556,0.186545,0.0111111
9,0.355556,0.241056,0.0111111
10,0.711111,0.261579,0.0111111
11,0.711111,0.267702,0.0111111
12,0.711111,0.280368,0.0111111
13,0.711111,0.29188,0.0111111
14,0.711111,0.29378,0.0111111
15,0.711111,0.30058,0.0111111
16,0.711111,0.309958,0.0111111
17,0.711111,0.330258,0.0111111
18,0.711111,0.365768,0.0111111
19,0.711111,0.420424,0.0111111
20,0.711111,0.515903,0.0111111
21,0.711111,0.571537,0.0111111
22,0.711111,0.571981,0.0111111
23,0.711111,0.571515,0.0111111
24,0.711111,0.571426,0.0111111
25,0.711111,0.572059,0.0111111
26,0.711111,0.571692,0.0111111
27,0.711111,0.571781,0.0111111
28,0.711111,0.571626,0.0111111
29,0.711111,0.57197,0.0111111
30,0.711111,0.571526,0.0111111
31,0.711111,0.571492,0.0111111
32,0.711111,0.571759,0.0111111
33,0.711111,0.571592,0.0111111
34,0.711111,0.571592,0.0111111
35,0.711111,0.57207,0.0111111
36,0.711111,0.571526,0.0111111
37,0.711111,0.571659,0.0111111
38,0.711111,0.571603,0.0111111
39,0.711111,0.57187,0.0111111
40,0.711111,0.57177,0.0111111
41,0.711111,0.571537,0.0111111
42,0.711111,0.571848,0.0111111
43,0.711111,0.571581,0.0111111
44,0.711111,0.571526,0.0111111
45,0.711111,0.571803,0.0111111
46,0.711111,0.571692,0.0111111
47,0.711111,0.57137,0.0111111
48,0.711111,0.571815,0.0111111
49,0.711111,0.571792,0.0111111
50,0.711111,0.57187,0.0111111
51,0.711111,0.571681,0.0111111
52,0.711111,0.571815,0.0111111
53,0.711111,0.572215,0.0111111
54,0.711111,0.571615,0.0111111
55,0.711111,0.571926,0.0111111
56,0.711111,0.571526,0.0111111
57,0.711111,0.571581,0.0111111
58,0.711111,0.572037,0.0111111
59,0.711111,0.572159,0.0111111
60,0.711111,0.57187,0.0111111
61,0.711111,0.571726,0.0111111
62,0.711111,0.57167,0.0111111
63,0.711111,0.572059,0.0111111
64,0.711111,0.571748,0.0111111
65,0.711111,0.571837,0.0111111
66,0.711111,0.571781,0.0111111
67,0.711111,0.571392,0.0111111
68,0.711111,0.571937,0.0111111
69,0.711111,0.571526,0.0111111
70,0.711111,0.571548,0.0111111
71,0.711111,0.572003,0.0111111
72,0.711111,0.571637,0.0111111
73,0.711111,0.57177,0.0111111
74,0.711111,0.571959,0.0111111
75,0.711111,0.571915,0.0111111
76,0.711111,0.572048,0.0111111
77,0.711111,0.571759,0.0111111
78,0.711111,0.571881,0.0111111
79,0.711111,0.571626,0.0111111
80,0.711111,0.571303,0.0111111
81,0.711111,0.571381,0.0111111
82,0.711111,0.571603,0.0111111
83,0.711111,0.571748,0.0111111
84,0.711111,0.571737,0.0111111
85,0.711111,0.571937,0.0111111
86,0.711111,0.571603,0.0111111
87,0.711111,0.571603,0.0111111
88,0.711111,0.571859,0.0111111
89,0.711111,0.571848,0.0111111
90,0.711111,0.57177,0.0111111
91,0.711111,0.571903,0.0111111
92,0.711111,0.571648,0.0111111
93,0.711111,0.571937,0.0111111
94,0.711111,0.571792,0.0111111
95,0.711111,0.571803,0.0111111
96,0.711111,0.571381,0.0111111
97,0.711111,0.571959,0.0111111
98,0.711111,0.571615,0.0111111
99,0.711111,0.571681,0.0111111
100,0.711111,0.571737,0.0111111
101,1,0.572103,0.0111111
